Date,Type,Value,Limit
2019-02-07,VAR,2666.4677199999896,2500.0
2019-02-08,VAR,2666.4677199999896,2500.0
2019-02-11,VAR,2666.4677199999896,2500.0
2019-02-12,VAR,2666.4677199999896,2500.0
2019-02-13,VAR,2666.4677199999896,2500.0
2019-02-14,VAR,2666.4677199999896,2500.0
2019-02-15,VAR,2666.4677199999896,2500.0
2019-02-19,VAR,2666.4677199999896,2500.0
2019-02-20,VAR,2666.4677199999896,2500.0
2019-02-21,VAR,2666.4677199999896,2500.0
2019-02-22,VAR,2666.4677199999896,2500.0
2019-02-25,VAR,2666.4677199999896,2500.0
2019-02-26,VAR,2666.4677199999896,2500.0
2019-02-27,VAR,2666.4677199999896,2500.0
2019-02-28,VAR,2666.4677199999896,2500.0
2019-03-01,VAR,2666.4677199999896,2500.0
2019-03-04,VAR,2666.4677199999896,2500.0
2019-03-05,VAR,2666.4677199999896,2500.0
2019-03-06,VAR,2666.4677199999896,2500.0
2019-03-07,VAR,2666.4677199999896,2500.0
2019-03-08,VAR,2666.4677199999896,2500.0
2019-03-11,VAR,2666.4677199999896,2500.0
2019-03-12,VAR,2666.4677199999896,2500.0
2019-03-13,VAR,2666.4677199999896,2500.0
2019-03-14,VAR,2666.4677199999896,2500.0
2019-03-15,VAR,2666.4677199999896,2500.0
2019-03-18,VAR,2666.4677199999896,2500.0
2019-03-19,VAR,2666.4677199999896,2500.0
2019-03-20,VAR,2666.4677199999896,2500.0
2019-05-13,VAR,2702.247789999993,2500.0
2019-05-14,VAR,2702.247789999993,2500.0
2019-05-15,VAR,2702.247789999993,2500.0
2019-05-16,VAR,2702.247789999993,2500.0
2019-05-17,VAR,2702.247789999993,2500.0
2019-05-20,VAR,2702.247789999993,2500.0
2019-05-21,VAR,2702.247789999993,2500.0
2019-05-22,VAR,2702.247789999993,2500.0
2019-05-23,VAR,2702.247789999993,2500.0
2019-05-24,VAR,2702.247789999993,2500.0
2019-05-28,VAR,2702.247789999993,2500.0
2019-05-29,VAR,2702.247789999993,2500.0
2019-05-30,VAR,2702.247789999993,2500.0
2019-05-31,VAR,2702.247789999993,2500.0
2019-06-03,VAR,2702.247789999993,2500.0
2019-06-04,VAR,2702.247789999993,2500.0
2019-06-05,VAR,2702.247789999993,2500.0
2019-06-06,VAR,2702.247789999993,2500.0
2019-06-07,VAR,2702.247789999993,2500.0
2019-06-10,VAR,2702.247789999993,2500.0
2019-06-11,VAR,2702.247789999993,2500.0
2019-06-12,VAR,2702.247789999993,2500.0
2019-06-13,VAR,2702.247789999993,2500.0
2019-06-14,VAR,2702.247789999993,2500.0
2019-06-17,VAR,2702.247789999993,2500.0
2019-06-18,VAR,2702.247789999993,2500.0
2019-06-19,VAR,2702.247789999993,2500.0
2019-06-20,VAR,2702.247789999993,2500.0
2019-06-21,VAR,2702.247789999993,2500.0
2019-06-24,VAR,2702.247789999993,2500.0
2019-06-25,VAR,2702.247789999993,2500.0
2019-06-26,VAR,2702.247789999993,2500.0
2019-06-27,VAR,2702.247789999993,2500.0
2019-06-28,VAR,2702.247789999993,2500.0
2019-07-01,VAR,2702.247789999993,2500.0
2019-07-02,VAR,2702.247789999993,2500.0
2019-07-03,VAR,2702.247789999993,2500.0
2019-07-05,VAR,2702.247789999993,2500.0
2019-07-08,VAR,2702.247789999993,2500.0
2019-07-09,VAR,2702.247789999993,2500.0
2019-07-10,VAR,2702.247789999993,2500.0
2019-07-11,VAR,2702.247789999993,2500.0
2019-07-12,VAR,2702.247789999993,2500.0
2019-07-15,VAR,2702.247789999993,2500.0
2019-07-16,VAR,2702.247789999993,2500.0
2019-07-17,VAR,2702.247789999993,2500.0
2019-07-18,VAR,2702.247789999993,2500.0
2019-07-19,VAR,2702.247789999993,2500.0
2019-07-22,VAR,2702.247789999993,2500.0
2019-07-23,VAR,2702.247789999993,2500.0
2019-07-24,VAR,2702.247789999993,2500.0
2019-07-25,VAR,2702.247789999993,2500.0
2019-07-26,VAR,2702.247789999993,2500.0
2019-07-29,VAR,2702.247789999993,2500.0
2019-07-30,VAR,2702.247789999993,2500.0
2019-07-31,VAR,2702.247789999993,2500.0
2019-08-01,VAR,2702.247789999993,2500.0
2019-08-02,VAR,2702.247789999993,2500.0
2019-08-05,VAR,3143.362749999993,2500.0
2019-08-06,VAR,3143.362749999993,2500.0
2019-08-07,VAR,3143.362749999993,2500.0
2019-08-08,VAR,3143.362749999993,2500.0
2019-08-09,VAR,3143.362749999993,2500.0
2019-08-12,VAR,3143.362749999993,2500.0
2019-08-13,VAR,3143.362749999993,2500.0
2019-08-14,VAR,3431.8410500000036,2500.0
2019-08-15,VAR,3431.8410500000036,2500.0
2019-08-16,VAR,3431.8410500000036,2500.0
2019-08-19,VAR,3431.8410500000036,2500.0
2019-08-20,VAR,3431.8410500000036,2500.0
2019-08-21,VAR,3431.8410500000036,2500.0
2019-08-22,VAR,3431.8410500000036,2500.0
2019-08-23,VAR,3431.8410500000036,2500.0
2019-08-26,VAR,3431.8410500000036,2500.0
2019-08-27,VAR,3431.8410500000036,2500.0
2019-08-28,VAR,3431.8410500000036,2500.0
2019-08-29,VAR,3431.8410500000036,2500.0
2019-08-30,VAR,3431.8410500000036,2500.0
2019-09-03,VAR,3431.8410500000036,2500.0
2019-09-04,VAR,3431.8410500000036,2500.0
2019-09-05,VAR,3431.8410500000036,2500.0
2019-09-06,VAR,3431.8410500000036,2500.0
2019-09-09,VAR,3431.8410500000036,2500.0
2019-09-10,VAR,3431.8410500000036,2500.0
2019-09-11,VAR,3431.8410500000036,2500.0
2019-09-12,VAR,3431.8410500000036,2500.0
2019-09-13,VAR,3431.8410500000036,2500.0
2019-09-16,VAR,3431.8410500000036,2500.0
2019-09-17,VAR,3431.8410500000036,2500.0
2019-09-18,VAR,3431.8410500000036,2500.0
2019-09-19,VAR,3431.8410500000036,2500.0
2019-09-20,VAR,3431.8410500000036,2500.0
2019-09-23,VAR,3431.8410500000036,2500.0
2019-09-24,VAR,3431.8410500000036,2500.0
2019-09-25,VAR,3431.8410500000036,2500.0
2019-09-26,VAR,3431.8410500000036,2500.0
2019-09-27,VAR,3431.8410500000036,2500.0
2019-09-30,VAR,3431.8410500000036,2500.0
2019-10-01,VAR,3431.8410500000036,2500.0
2019-10-02,VAR,3431.8410500000036,2500.0
